cd_ibge;estado;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
11; Rondônia;117.397.179;165.025.414;197.609.358;241.237.149;265.123.531;308.599.031;395.628.423;439.679.196;587.781.101;645.023.007;837.579.044;1.015.845.063;1.088.439.023;1.149.485.213;898.891.298;866.236.050;860.498.171
12; Acre;51.507.861;58.561.866;79.164.582;103.781.571;122.834.559;157.329.335;185.630.916;202.792.556;264.787.080;293.414.584;334.383.605;354.753.303;388.346.701;420.972.341;477.377.351;446.007.373;485.796.236
13; Amazonas;402.717.802;457.162.884;553.415.457;690.255.066;847.562.496;1.018.393.928;1.195.084.652;1.398.384.715;1.691.009.651;1.710.346.703;1.972.319.979;2.243.033.892;2.345.346.775;2.311.424.679;1.998.310.624;1.930.636.675;1.816.617.663
14; Roraima;22.548.374;46.172.207;84.504.860;103.793.593;96.661.777;121.495.849;149.496.249;174.972.972;196.622.291;214.252.370;239.951.793;271.305.737;284.986.491;303.870.578;283.721.973;282.750.119;304.583.438
15; Pará;457.166.116;553.806.039;698.172.261;869.205.757;990.208.542;1.242.983.064;1.456.058.811;1.714.613.764;1.994.797.846;2.115.959.506;2.345.609.876;2.785.548.607;3.228.230.890;3.427.882.121;3.055.798.654;3.119.138.659;3.067.461.353
16; Amapá;37.780.926;52.599.105;68.782.396;87.292.009;106.925.604;118.503.266;126.582.096;156.223.654;202.164.296;189.270.612;186.712.694;241.645.007;282.487.404;255.051.026;278.233.998;241.259.851;256.883.950
17; Tocantins;79.157.565;114.690.078;168.144.392;207.601.528;251.493.919;275.715.078;327.007.329;395.219.233;477.645.318;507.727.278;619.463.128;779.843.296;733.191.328;805.421.322;512.939.711;515.975.395;538.947.939
21; Maranhão;254.486.571;321.530.547;387.453.026;416.211.521;440.468.055;550.049.413;628.244.599;773.931.779;977.701.230;1.194.509.848;1.355.971.928;1.599.483.206;1.675.579.779;1.918.002.514;1.650.135.546;1.639.273.627;1.755.011.437
22; Piauí;150.984.313;176.865.167;197.607.916;246.120.067;296.238.235;355.640.532;429.909.737;485.424.737;579.925.594;685.516.093;896.438.469;1.011.266.363;1.115.176.518;1.254.704.880;1.083.999.228;1.074.609.298;1.158.680.835
23; Ceará;734.824.175;823.243.728;908.739.584;1.082.396.243;1.282.703.571;1.546.329.185;1.805.125.794;2.188.057.942;2.645.264.510;2.955.053.758;3.710.471.794;4.314.182.503;4.921.248.739;5.414.009.496;5.021.988.551;5.103.718.795;5.116.438.203
24; Rio Grande do Norte;250.299.471;324.133.037;413.605.147;531.577.817;585.408.055;692.694.539;798.737.853;963.632.291;1.180.157.876;1.211.611.976;1.426.695.771;1.624.879.809;1.618.560.545;1.781.287.364;1.479.747.153;1.503.246.922;1.521.820.111
25; Paraíba;230.073.746;282.386.939;351.205.833;422.787.555;439.889.115;533.277.925;638.456.803;785.877.879;957.419.394;1.054.170.031;1.240.366.173;1.505.413.720;1.697.561.178;1.837.900.939;1.660.748.757;1.712.204.903;1.786.611.970
26; Pernambuco;939.723.063;1.065.765.509;1.227.041.358;1.413.698.107;1.602.884.283;1.872.351.333;2.112.955.772;2.469.843.676;3.014.979.283;3.402.702.195;4.161.141.821;4.927.565.062;5.645.756.690;6.064.286.479;5.165.285.064;5.209.112.154;5.595.905.480
27; Alagoas;173.947.732;229.085.779;279.987.767;376.725.207;417.166.449;495.411.584;559.686.828;644.521.270;767.565.068;789.042.009;878.690.165;1.030.243.989;1.078.340.260;1.178.947.591;1.213.391.121;1.179.648.654;1.214.208.671
28; Sergipe;227.250.706;251.569.786;314.882.683;388.638.169;448.089.089;530.839.805;584.722.083;696.146.337;846.756.738;869.038.377;1.021.305.499;1.189.472.845;1.251.010.115;1.312.777.398;1.184.566.153;1.204.090.471;1.223.417.272
29; Bahia;1.457.428.356;1.643.103.377;1.946.124.987;2.304.349.421;2.666.565.950;3.090.541.107;3.343.913.847;4.019.591.663;4.844.474.558;5.181.954.812;6.024.279.312;6.817.524.583;7.309.391.086;7.972.686.450;6.734.159.545;6.546.734.448;6.503.963.464
31; Minas Gerais;4.145.228.075;4.494.755.606;5.195.681.188;6.052.954.046;7.008.935.532;8.377.414.968;9.636.310.719;11.137.257.229;13.260.376.620;14.297.032.239;17.063.664.587;19.304.297.192;21.112.963.637;22.203.120.371;18.911.423.145;18.775.153.056;19.607.111.712
32; Espírito Santo;734.060.096;868.025.232;1.018.594.466;1.158.176.950;1.360.259.811;1.618.108.315;1.935.865.616;2.135.119.887;2.453.617.771;2.510.189.221;2.966.146.370;3.444.704.925;3.858.940.439;4.131.964.942;3.887.334.417;3.887.862.702;4.007.126.440
33; Rio de Janeiro;5.977.850.918;6.791.887.926;8.274.159.609;9.528.453.367;10.682.283.094;12.583.940.290;14.049.899.456;16.694.048.175;19.760.088.337;22.544.757.772;25.854.367.182;29.972.804.445;32.481.402.340;34.660.261.722;32.784.781.294;32.824.819.142;33.132.138.757
35; São Paulo;25.214.039.923;27.949.125.388;30.505.559.789;35.111.328.518;40.163.454.092;45.937.642.390;51.154.643.333;59.096.476.207;70.179.051.698;75.084.365.002;86.843.958.641;101.090.582.416;110.287.731.245;112.010.272.936;105.851.365.536;108.461.837.122;118.862.531.605
41; Paraná;2.933.092.978;3.350.390.282;3.803.924.278;4.433.218.516;5.107.756.812;5.737.807.021;6.386.854.087;7.467.277.315;8.812.767.720;9.576.280.113;11.177.836.377;13.004.948.290;14.354.100.465;15.263.844.175;14.894.044.024;15.148.955.299;16.340.271.232
42; Santa Catarina;1.929.486.912;2.222.798.380;2.667.420.285;3.184.774.113;3.739.490.163;4.220.897.188;4.716.904.377;5.546.278.401;6.280.609.468;6.762.378.057;7.787.727.651;8.896.939.001;9.507.023.754;9.838.203.413;10.252.908.179;10.578.157.484;11.618.672.132
43; Rio Grande do Sul;3.598.603.544;4.080.369.447;4.653.450.827;5.515.478.010;6.470.731.006;7.090.457.653;7.572.527.305;8.637.864.987;10.137.742.613;10.718.081.540;12.456.888.836;14.344.130.268;15.128.490.428;15.824.996.479;16.924.781.189;17.256.890.489;18.101.731.809
50; Mato Grosso do Sul;292.516.798;361.813.775;427.393.190;542.211.569;653.881.875;753.153.916;839.850.993;932.003.568;1.133.273.819;1.230.412.098;1.355.454.432;1.554.177.070;1.788.631.719;1.986.051.260;2.139.549.443;2.167.656.177;2.382.975.079
51; Mato Grosso;322.220.706;420.307.707;494.309.380;616.810.126;771.926.622;935.063.614;1.041.747.059;1.245.869.902;1.530.526.538;1.683.787.266;1.936.093.151;2.258.337.503;2.572.112.612;2.787.092.860;2.470.217.335;2.583.713.335;2.794.645.818
52; Goiás;794.631.184;943.042.667;1.079.024.732;1.347.122.538;1.609.011.472;1.871.000.131;2.163.284.793;2.581.790.414;2.975.940.760;3.064.626.016;3.553.960.361;4.214.729.246;4.833.304.764;5.266.477.847;3.879.988.701;3.741.449.636;3.773.210.876
53; Distrito Federal;1.797.248.282;2.045.398.356;3.057.119.868;3.206.976.036;3.724.453.122;4.557.037.153;5.285.784.255;5.442.331.348;7.312.917.845;7.994.265.926;9.486.039.658;10.331.269.583;11.252.544.900;13.107.848.029;13.807.675.726;14.328.032.001;14.510.926.130
